tweet_id,sentiment,author,content
1045100792980668416,charm,molly__walsh,@spookymoonkitty I just picked one up. I’m in love with him 😍
1045100793366552577,surprise,iHumble,@EW: Scream queen @jamieleecurtis is back to take on the boogeyman once again in @halloweenmovie. 😱 Get the inside story on the sequel 4…
1045100791860682753,sad,peachykookie4,@jiminsarchive: so gentle and loving; the most precious 😭 https://t.co/E8FghQmhO0
1045100794041765894,intrigue,WaterlooEastXC,@MichelleVanDorn: I 👀 you @UNIFootball. Now I know what an order of 200 tenderloins looks like. #TeamBonding #UNIFight https://t.co/kuy…
1045100793832120320,intrigue,JBMorbitzer,@maroon5 You know that Sugar video you made 🤔 so I'm getting married to this beautiful lady in two weeks - October… https://t.co/eLt3dLOACz
1045100794347999232,annoy,Blu3_champagn3,@ArayaSunshiine: @ValerieCarter @Rook_Speaks21 That's a major reach.. how are y'all weirdos defending this man?? 😒 you need help hunny.
1045100794570108934,awesome,yyssw_,@imdanielpadilla: Happy Birthday @dbuzzketball 😎
1045100794381553664,sad,_kiwi_ki,@MayaLWebb Girl I was dying 😭
1045100794549174274,sad,servant_eternal,Y'all I have it bad. Even just seeing large numbers gets me turned on. 😩
1045100794696126464,joke,MrFrenchBulldog,Sure I believe you. That is why I bothered to respond. 🙃 A learning moment I guess. I have them all the time!
1045100794830356480,happy,catandmaclover,MY BFF IS IN THAT BAND!! 😁
1045100795266519041,joke,hweiter15,@M_Stewart123: Henry and I walking at the park: Older gentleman: “good evening!” Henry: “good...” Me: “evening!” #WhyAreWeLikeThis 🤣
1045100795790675970,charm,faithserencio,@Perezmylene4 @ogiealcasid @reginevalcasid happy bday sayo 😘
1045100795740315648,sad,r2brittney,@mloera_24: I act like I’m ok.. but deep down Inside I wanna start a drug cartel 😔
1045100794897260544,sad,THEMrOutlaw,@TheMorganBerry But do I really need to get rid of this gif? 🙁 https://t.co/g0zHOBN7zq
1045100795358785536,charm,paperchasin_BP,@Sammm_Colonnn @brittyboppp Can u say.... dime 😍
1045100796415750144,worry,Ijustfangirl,@robbiewilliams: So sorry about the tattoo @Louis_Tomlinson 😬 #XFactor #VloggieWilliams https://t.co/Le0HaWOJGy
1045100796566794240,sad,e_escarlam,Bitch I’m drowning in homework 😭
1045100796440760320,surprise,acraan1,Hein 😳
